id;nome;needs_translation;notes
camisola-benfica-202425-principal;Camisola Benfica 2024/25 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
camisola-fc-porto-202425-principal;Camisola FC Porto 2024/25 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
camisola-sporting-202425-principal;Camisola Sporting 2024/25 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
sporting-vintage-branca-anos-90-limited;Camisola Sporting C.P. Vintage Branca Anos 90 Limited Edition;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
sporting-vintage-verde-anos-90-limited;Camisola Sporting C.P. Vintage Verde Anos 90 Limited Edition;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
sporting-special-25-26;Camisola Sporting CP Special Edition 2025/26;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
camisola-benfica-alternativa-202425;Camisola Benfica Alternativa 2024/25;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
camisola-fc-porto-alternativa-202425;Camisola FC Porto Alternativa 2024/25;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
camisola-sporting-alternativa-202425;Camisola Sporting Alternativa 2024/25;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
kit-crianca-sporting-lisbon-third-25-26;Kit Criança Sporting away 2025/26;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa; Categoria criança"
camisola-fc-porto-terceira-202425;Camisola FC Porto Terceira 2024/25;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
camisola-sporting-202526-principal;Camisola Sporting 2025/26 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
sporting-concept-2024;Camisola Sporting Concept 2024;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
sc-braga-24-25-principal;Camisola SC Braga 2024/25 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
camisola-vitoria-sc-202425-principal;Camisola Vitória SC 2024/25 Principal;Sim;"Referencia Portugal/Liga PT; liga field=liga-portuguesa"
portugal-pantera-negra;Camisola Portugal Edição Especial Pantera Negra;Sim;Referencia Portugal/Liga PT
portugal-pantera-negra-versao-jogador;Camisola Portugal Edição Especial Pantera Negra versão jogador;Sim;Referencia Portugal/Liga PT
portugal-principal-2026;Camisola Seleção Portugal Principal 2026;Sim;Referencia Portugal/Liga PT
camisola-manchester-city-202425-principal;Camisola Manchester City 2024/25 Principal;Sim;Traduzir descrições
